Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
"Opticians, Dispensing ","39,610",0.037,0.54,0.5,3.9/10
Appraisers and Assessors of Real Estate ,"61,560",0.04,0.74,0.57,3.9/10
Retail Loss Prevention Specialists ,"36,460",0.058,0.65,0.42,3.9/10
Cargo and Freight Agents ,"46,860",0.088,0.74,0.74,3.9/10
Freight Forwarders ,"46,860",0.088,0.9,0.63,3.9/10
Cement Masons and Concrete Finishers ,"48,300",-0.034,0.58,0.4,3.8/10
"Patternmakers, Wood ","44,290",0.078,0.66,0.86,3.8/10
Pile Driver Operators ,"64,310",0.06,0.69,0.73,3.8/10
Animal Breeders ,"45,320",0.043,0.78,0.37,3.8/10
Waiters and Waitresses ,"29,120",0.103,0.71,0.68,3.8/10
Landscaping and Groundskeeping Workers ,"35,890",0.048,0.86,0.43,3.8/10
Tapers ,"62,360",-0.008,0.64,0.4,3.8/10
Chemical Technicians ,"50,840",0.045,0.67,0.52,3.8/10
"News Analysts, Reporters, and Journalists ","55,960",-0.086,0.47,0.4,3.8/10
Glaziers ,"48,720",0.04,0.56,0.5,3.8/10
Tree Trimmers and Pruners ,"47,080",0.034,0.65,0.45,3.8/10
Crane and Tower Operators ,"61,340",0.004,0.72,0.5,3.8/10
Cabinetmakers and Bench Carpenters ,"38,810",0.035,0.57,0.49,3.8/10
"Bus Drivers, School ","41,270",0.066,0.87,0.65,3.7/10
Machinists ,"48,510",0.024,0.72,0.53,3.7/10
"Claims Adjusters, Examiners, and Investigators ","72,230",-0.058,0.67,0.59,3.7/10
Histology Technicians ,"57,380",0.066,0.87,0.75,3.7/10
"Umpires, Referees, and Other Sports Officials ","36,010",0.317,0.62,0.66,3.7/10
Sailors and Marine Oilers ,"47,490",0.004,0.6,0.41,3.7/10
Audiovisual Equipment Installers and Repairers ,"44,960",-0.026,0.42,0.41,3.7/10
Gambling Dealers ,"29,120",0.192,0.89,0.6,3.7/10
Medical Equipment Preparers ,"41,480",0.06,0.76,0.59,3.7/10
Surveying and Mapping Technicians ,"47,180",0.036,0.6,0.64,3.7/10
"Hotel, Motel, and Resort Desk Clerks ","28,910",0.144,0.72,0.66,3.6/10
Medical Records Specialists ,"47,180",0.066,0.92,0.72,3.6/10
Bakers ,"32,780",0.081,0.84,0.54,3.6/10
"Explosives Workers, Ordnance Handling Experts, and Blasters ","56,670",0.015,0.42,0.52,3.6/10
"Layout Workers, Metal and Plastic ","58,260",-0.1,0.46,0.75,3.6/10
Heavy and Tractor-Trailer Truck Drivers ,"49,920",0.043,0.88,0.65,3.6/10
Models ,"43,130",0.092,0.81,0.48,3.6/10
Baristas ,"27,930",0.076,0.74,0.66,3.6/10
Nuclear Technicians ,"100,420",-0.166,0.65,0.5,3.6/10
Industrial Truck and Tractor Operators ,"41,230",0.071,0.9,0.7,3.6/10
Electrical and Electronics Drafters ,"64,240",-0.001,0.54,0.6,3.6/10
Dietetic Technicians ,"33,960",0.047,0.44,0.54,3.6/10
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers ","67,540",0.012,0.84,0.58,3.6/10
Locksmiths and Safe Repairers ,"47,400",-0.148,0.5,0.35,3.6/10
"Electric Motor, Power Tool, and Related Repairers ","48,260",0.039,0.48,0.55,3.6/10
Wellhead Pumpers ,"63,280",0.033,0.82,0.69,3.6/10
Hazardous Materials Removal Workers ,"46,690",-0.003,0.4,0.61,3.6/10
Floral Designers ,"33,160",-0.21,0.5,0.2879,3.6/10
Budget Analysts ,"82,260",0.028,0.89,0.68,3.6/10
Reservation and Transportation Ticket Agents and Travel Clerks ,"39,160",0.074,0.71,0.67,3.5/10
Advertising Sales Agents ,"58,450",-0.079,0.52,0.59,3.5/10
Executive Secretaries and Executive Administrative Assistants ,"65,980",-0.202,0.72,0.58,3.5/10
Dishwashers ,"29,080",0.099,0.91,0.73,3.5/10
Subway and Streetcar Operators ,"88,260",0.035,0.83,0.77,3.5/10
"Insulation Workers, Floor, Ceiling, and Wall ","45,380",0.038,0.57,0.57,3.4/10
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers ","58,430",-0.194,0.54,0.65,3.4/10
Segmental Pavers ,"44,890",0.04,0.43,0.68,3.4/10
"Excavating and Loading Machine and Dragline Operators, Surface Mining ","48,350",-0.001,0.59,0.56,3.4/10
Broadcast Technicians ,"60,700",-0.02,0.53,0.63,3.4/10
Conveyor Operators and Tenders ,"36,890",0.07,0.86,0.68,3.4/10
Tool and Die Makers ,"59,800",-0.064,0.74,0.54,3.4/10
"Helpers--Installation, Maintenance, and Repair Workers ","35,100",0.038,0.58,0.47,3.4/10
Farm Labor Contractors ,"49,330",0.223,1,0.75,3.4/10
Cooling and Freezing Equipment Operators and Tenders ,"42,890",0.062,0.75,0.5,3.4/10
Nuclear Power Reactor Operators ,"115,870",-0.268,0.73,0.58,3.4/10
"Rail Yard Engineers, Dinkey Operators, and Hostlers ","56,340",0.021,0.67,0.75,3.4/10
Forest and Conservation Workers ,"32,270",-0.034,0.4,0.32,3.4/10
Medical Secretaries and Administrative Assistants ,"38,500",0.08,0.89,0.79,3.4/10
Security Guards ,"34,750",0.034,0.54,0.58,3.4/10
Maids and Housekeeping Cleaners ,"29,960",0.094,0.82,0.65,3.4/10
Hoist and Winch Operators ,"58,950",0.01,0.8,0.88,3.4/10
Carpet Installers ,"45,240",-0.09,0.49,0.4,3.3/10
Biofuels Processing Technicians ,"57,470",0.004,0.69,1,3.3/10
Food Science Technicians ,"47,860",0.076,0.77,0.84,3.3/10
Mechanical Drafters ,"61,310",-0.085,0.48,0.58,3.3/10
Pipelayers ,"45,990",-0.026,0.5,0.52,3.3/10
Orderlies ,"34,520",0.047,0.72,0.44,3.3/10
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders ","43,960",0.028,0.87,0.75,3.3/10
Chemical Equipment Operators and Tenders ,"49,330",-0.05,0.77,0.82,3.3/10
Insurance Underwriters ,"76,230",-0.045,0.82,0.7,3.3/10
"Production, Planning, and Expediting Clerks ","50,630",0.05,0.99,0.78,3.3/10
Pharmacy Technicians ,"37,790",0.05,0.73,0.67,3.3/10
"Cooks, Institution and Cafeteria ","32,510",0.063,0.69,0.7,3.3/10
Postmasters and Mail Superintendents ,"82,760",-0.048,0.51,0.78,3.2/10
"Geological Technicians, Except Hydrologic Technicians ","48,490",0.052,0.66,0.59,3.2/10
Broadcast Announcers and Radio Disc Jockeys ,"41,750",-0.114,0.51,0.42,3.2/10
"Pesticide Handlers, Sprayers, and Applicators, Vegetation ","41,440",0.058,0.75,0.63,3.2/10
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders ","39,480",0.042,0.97,0.63,3.2/10
Helpers--Electricians ,"37,070",-0.028,0.52,0.46,3.2/10
Laundry and Dry-Cleaning Workers ,"29,060",0.119,0.97,0.65,3.2/10
Loan Interviewers and Clerks ,"46,490",-0.007,0.89,0.96,3.2/10
"Food Servers, Nonrestaurant ","30,300",0.07,0.71,0.75,3.2/10
Fabric and Apparel Patternmakers ,"60,320",-0.127,0.53,0.52,3.2/10
Terrazzo Workers and Finishers ,"52,330",-0.112,0.53,0.71,3.2/10
Helpers--Roofers ,"37,020",0.019,0.38,0.58,3.2/10
Tire Builders ,"51,650",0.081,1,0.78,3.1/10
Chemical Plant and System Operators ,"82,670",-0.011,0.91,0.56,3.1/10
Gas Plant Operators ,"79,460",-0.09,0.63,0.66,3.1/10
Taxi Drivers ,"30,670",0.285,0.78,0.85,3.1/10
Automotive Glass Installers and Repairers ,"43,700",0.044,0.74,0.55,3.1/10
Judicial Law Clerks ,"57,490",-0.005,0.92,0.49,3.1/10
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders ","46,250",0.009,0.87,0.83,3.1/10
"Coin, Vending, and Amusement Machine Servicers and Repairers ","39,690",0.049,0.94,0.53,3.1/10
Outdoor Power Equipment and Other Small Engine Mechanics ,"40,030",0.031,0.68,0.51,3.1/10
Demonstrators and Product Promoters ,"34,770",0.024,0.57,0.46,3.1/10
Transportation Security Screeners ,"47,710",-0.014,0.66,0.69,3.1/10
"Ushers, Lobby Attendants, and Ticket Takers ","27,650",0.405,0.92,0.91,3.1/10
Refuse and Recyclable Material Collectors ,"43,540",0.054,0.89,0.69,3.1/10
Driver/Sales Workers ,"32,690",0.12,0.96,0.8,3.1/10
"Welders, Cutters, Solderers, and Brazers ","47,540",0.016,0.88,0.58,3.1/10
Postal Service Mail Carriers ,"54,250",-0.048,1,0.54,3.1/10
Cleaners of Vehicles and Equipment ,"31,000",0.058,0.87,0.6,3.1/10
Gambling Surveillance Officers and Gambling Investigators ,"35,970",0.085,0.79,0.68,3.0/10
Shampooers ,"27,860",0.106,0.72,0.71,3.0/10
"Electronic Equipment Installers and Repairers, Motor Vehicles ","41,600",-0.234,0.37,0.54,3.0/10
Traffic Technicians ,"50,050",0.023,0.55,0.73,3.0/10
Jewelers and Precious Stone and Metal Workers ,"47,140",0.014,0.71,0.52,3.0/10
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation ","79,570",0.018,0.88,0.86,3.0/10
"Computer, Automated Teller, and Office Machine Repairers ","44,910",-0.036,0.65,0.54,3.0/10
Structural Metal Fabricators and Fitters ,"47,200",-0.158,0.74,0.44,3.0/10
Crossing Guards and Flaggers ,"33,380",0.092,0.87,0.71,3.0/10
Credit Analysts ,"78,850",-0.025,1,0.67,3.0/10
Electromechanical Equipment Assemblers ,"38,580",0.022,0.93,0.72,2.9/10
"Interviewers, Except Eligibility and Loan ","38,700",-0.083,0.63,0.75,2.9/10
Fast Food and Counter Workers ,"27,930",0.076,0.99,0.88,2.9/10
Musical Instrument Repairers and Tuners ,"38,150",-0.071,0.47,0.35,2.9/10
Paperhangers ,"44,930",0.03,0.67,0.78,2.9/10
"Roof Bolters, Mining ","60,210",-0.215,0.77,0.88,2.9/10
"Loading and Moving Machine Operators, Underground Mining ","63,920",-0.178,0.92,0.67,2.9/10
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners ","31,990",0.037,0.83,0.59,2.9/10
"Laborers and Freight, Stock, and Material Movers, Hand ","36,110",0.06,1,0.81,2.9/10
Stockers and Order Fillers ,"34,220",0.064,0.8,0.78,2.9/10
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders ","44,530",0.027,0.91,0.63,2.9/10
"Tax Examiners and Collectors, and Revenue Agents ","57,950",-0.067,0.82,0.61,2.9/10
"Sawing Machine Setters, Operators, and Tenders, Wood ","36,270",0.041,1,0.86,2.9/10
Automotive and Watercraft Service Attendants ,"30,850",-0.004,0.7,0.47,2.8/10
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic ","39,210",0.028,0.65,0.66,2.8/10
"Eligibility Interviewers, Government Programs ","49,230",0,0.76,0.69,2.8/10
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse ","33,000",0.023,0.62,0.72,2.8/10
"Insurance Appraisers, Auto Damage ","69,380",-0.053,0.78,0.68,2.8/10
Continuous Mining Machine Operators ,"57,360",0.016,0.7,0.63,2.8/10
Gem and Diamond Workers ,"47,140",0.014,0.99,0.83,2.8/10
Tax Preparers ,"48,250",0.039,0.97,0.72,2.8/10
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic ","39,970",0.007,1,0.72,2.8/10
"Dispatchers, Except Police, Fire, and Ambulance ","44,830",0.001,0.73,0.69,2.7/10
Computer Numerically Controlled Tool Operators ,"46,760",-0.08,0.71,0.58,2.7/10
Food Batchmakers ,"36,580",0.055,1,0.69,2.7/10
Parts Salespersons ,"35,800",0.036,0.68,0.76,2.7/10
Motorboat Operators ,"41,430",-0.002,0.44,0.68,2.7/10
"Refractory Materials Repairers, Except Brickmasons ","50,550",-0.202,0.79,0.63,2.7/10
Motion Picture Projectionists ,"33,360",0.403,1,0.69,2.7/10
Food Preparation Workers ,"29,790",0.022,0.77,0.71,2.7/10
Dredge Operators ,"47,090",0.029,1,0.96,2.7/10
Furniture Finishers ,"37,960",0.022,0.55,0.56,2.7/10
Ophthalmic Laboratory Technicians ,"36,810",0.037,1,0.44,2.7/10
Fiberglass Laminators and Fabricators ,"38,110",0.007,0.74,0.35,2.7/10
Agricultural Inspectors ,"44,720",0.005,0.59,0.56,2.7/10
"Title Examiners, Abstractors, and Searchers ","50,490",0.019,1,0.59,2.7/10
Tire Repairers and Changers ,"34,240",0.031,0.83,0.5,2.6/10
"Human Resources Assistants, Except Payroll and Timekeeping ","45,930",-0.045,0.82,0.65,2.6/10
Packaging and Filling Machine Operators and Tenders ,"36,750",0.041,0.91,0.9,2.6/10
Counter and Rental Clerks ,"35,830",0.044,0.89,0.84,2.6/10
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians ","30,380",-0.01,0.49,0.43,2.6/10
Etchers and Engravers ,"37,980",0.031,0.88,0.88,2.6/10
"Locker Room, Coatroom, and Dressing Room Attendants ","30,210",0.135,0.9,0.79,2.6/10
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic ","46,310",-0.109,0.87,0.78,2.6/10
Dental Laboratory Technicians ,"46,050",-0.007,0.62,0.67,2.6/10
Procurement Clerks ,"45,240",-0.068,0.86,0.61,2.5/10
"Court, Municipal, and License Clerks ","44,140",0.019,1,0.63,2.5/10
Floor Sanders and Finishers ,"46,060",0.016,0.56,0.66,2.5/10
Retail Salespersons ,"30,600",-0.002,0.66,0.73,2.5/10
"Inspectors, Testers, Sorters, Samplers, and Weighers ","43,900",-0.03,0.82,0.66,2.5/10
"Patternmakers, Metal and Plastic ","54,970",-0.102,0.89,0.94,2.5/10
Camera and Photographic Equipment Repairers ,"44,060",0.048,0.77,0.75,2.5/10
Desktop Publishers ,"47,910",-0.137,0.56,0.53,2.5/10
Gas Compressor and Gas Pumping Station Operators ,"59,990",-0.001,0.84,0.67,2.5/10
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters ","39,430",-0.083,0.54,0.61,2.4/10
"Cutting and Slicing Machine Setters, Operators, and Tenders ","39,880",-0.022,1,0.72,2.4/10
Brokerage Clerks ,"54,680",-0.051,1,0.61,2.4/10
Machine Feeders and Offbearers ,"38,040",0.063,1,0.75,2.4/10
"Cooks, Short Order ","30,360",0.01,0.79,0.59,2.4/10
"Painting, Coating, and Decorating Workers ","38,270",0.033,0.92,0.55,2.3/10
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons ","36,080",0.026,0.73,0.63,2.3/10
"Farmworkers, Farm, Ranch, and Aquacultural Animals ","34,150",-0.065,0.68,0.43,2.3/10
Semiconductor Processing Technicians ,"44,690",0.034,0.96,0.57,2.3/10
Helpers--Carpenters ,"37,490",-0.035,0.55,0.61,2.3/10
Logging Equipment Operators ,"46,400",-0.033,0.89,0.58,2.3/10
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing ","36,830",0.032,0.96,0.64,2.3/10
Postal Service Clerks ,"56,200",-0.048,0.87,0.87,2.3/10
Electrical and Electronic Equipment Assemblers ,"38,580",0.022,0.85,0.85,2.3/10
Insurance Claims and Policy Processing Clerks ,"46,080",-0.023,1,0.72,2.3/10
Customer Service Representatives ,"37,780",-0.036,0.82,0.71,2.2/10
Statistical Assistants ,"48,880",0.017,0.72,0.72,2.2/10
Watch and Clock Repairers ,"48,370",-0.247,0.93,0.4,2.2/10
"Bookkeeping, Accounting, and Auditing Clerks ","45,860",-0.045,1,0.76,2.2/10
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders ","37,790",0.022,0.87,0.6,2.2/10
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers ","39,860",-0.042,0.95,0.72,2.2/10
Parking Attendants ,"30,570",0.056,0.98,0.81,2.2/10
Butchers and Meat Cutters ,"36,930",-0.033,0.82,0.58,2.2/10
"Mixing and Blending Machine Setters, Operators, and Tenders ","43,410",0.023,1,0.85,2.2/10
Printing Press Operators ,"39,350",-0.155,0.76,0.7,2.2/10
Billing and Posting Clerks ,"42,810",0.011,1,0.8,2.2/10
Adhesive Bonding Machine Operators and Tenders ,"38,780",0.015,1,0.58,2.1/10
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders ","37,190",0.068,1,0.79,2.1/10
"Coil Winders, Tapers, and Finishers ","43,160",-0.179,0.89,0.58,2.1/10
Information and Record Clerks ,"37,440",-0.021,0.86,0.75,2.1/10
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic ","37,900",-0.104,0.81,0.88,2.1/10
Library Technicians ,"37,600",-0.042,0.75,0.68,2.1/10
"Paper Goods Machine Setters, Operators, and Tenders ","45,710",-0.043,0.89,0.82,2.1/10
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic ","38,910",-0.088,1,0.72,2.1/10    
Log Graders and Scalers ,"42,370",0.035,0.84,0.65,2.0/10
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive ","41,000",-0.1,0.94,0.71,2.0/10
"Pourers and Casters, Metal ","45,070",-0.125,0.87,0.67,2.0/10
Photographic Process Workers and Processing Machine Operators ,"36,280",0.035,0.68,0.76,2.0/10
Proofreaders and Copy Markers ,"45,410",0.024,1,0.71,2.0/10
"Cooks, Private Household ","38,570",-0.017,0.73,0.51,2.0/10
"Shipping, Receiving, and Inventory Clerks ","37,760",-0.07,0.87,0.75,2.0/10
Financial Clerks ,"43,680",-0.053,1,0.9,2.0/10
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic ","47,020",-0.091,1,0.5,2.0/10
"Tailors, Dressmakers, and Custom Sewers ","34,280",0.012,0.83,0.53,2.0/10
Court Reporters and Simultaneous Captioners ,"63,560",0.014,1,0.8,2.0/10
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping ","39,950",0.001,0.9,0.8,2.0/10
Engine and Other Machine Assemblers ,"50,850",-0.122,0.81,0.76,2.0/10
"Meat, Poultry, and Fish Cutters and Trimmers ","35,070",0.013,0.95,0.63,1.9/10
Foundry Mold and Coremakers ,"40,120",-0.111,1,0.58,1.9/10
"Tank Car, Truck, and Ship Loaders ","53,930",-0.025,0.8,0.79,1.9/10
Prepress Technicians and Workers ,"43,560",-0.227,0.8,0.73,1.9/10
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders ","43,290",-0.022,0.86,0.71,1.9/10
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders ","44,920",-0.079,0.82,0.56,1.9/10
"Library Assistants, Clerical ","31,150",-0.037,0.73,0.65,1.9/10
Couriers and Messengers ,"35,280",-0.003,0.95,0.71,1.9/10
Payroll and Timekeeping Clerks ,"49,630",-0.151,1,0.82,1.8/10
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic ","39,340",-0.072,0.94,0.6,1.8/10
Legal Secretaries and Administrative Assistants ,"48,780",-0.192,0.99,0.75,1.8/10
Bill and Account Collectors ,"39,470",-0.081,1,0.65,1.8/10
"Rock Splitters, Quarry ","46,010",0.042,0.93,0.96,1.8/10
"Model Makers, Metal and Plastic ","57,620",-0.071,0.8,0.71,1.8/10
"Tool Grinders, Filers, and Sharpeners ","41,940",-0.079,0.97,0.88,1.8/10
Timing Device Assemblers and Adjusters ,"42,290",-0.183,0.98,1,1.8/10
Team Assemblers ,"37,280",-0.071,0.85,0.89,1.8/10
"Office Clerks, General ","38,040",-0.048,1,0.76,1.8/10
Receptionists and Information Clerks ,"33,960",0.004,0.93,0.83,1.8/10
Correspondence Clerks ,"38,700",-0.021,0.94,0.8,1.8/10
"Packers and Packagers, Hand ","32,920",-0.003,1,0.75,1.8/10
Metal-Refining Furnace Operators and Tenders ,"50,280",-0.064,0.96,0.77,1.8/10
Pharmacy Aides ,"33,270",-0.029,0.75,0.67,1.8/10
"Postal Service Mail Sorters, Processors, and Processing Machine Operators ","49,130",-0.094,1,0.75,1.7/10
Tellers ,"36,380",-0.116,0.89,0.89,1.7/10
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic ","46,540",-0.183,0.89,0.75,1.7/10
Parking Enforcement Workers ,"41,570",-0.371,0.6,0.79,1.7/10
Passenger Attendants ,"34,630",0.008,0.77,0.72,1.7/10
Slaughterers and Meat Packers ,"35,240",-0.018,1,0.7,1.6/10
File Clerks ,"37,290",-0.119,0.85,0.73,1.6/10
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic ","37,050",-0.006,0.92,0.8,1.6/10
Bridge and Lock Tenders ,"47,280",0,0.93,0.79,1.6/10
Cashiers ,"28,240",-0.1,0.88,0.91,1.6/10
Order Clerks ,"38,060",-0.168,0.83,0.78,1.5/10
Door-to-Door Sales Workers News and Street Vendors and Related Workers ,"31,100",-0.104,0.77,0.63,1.4/10
Shoe and Leather Workers and Repairers ,"32,460",-0.051,1,0.55,1.4/10
Gambling and Sports Book Writers and Runners ,"28,940",0.009,1,0.59,1.4/10
Data Entry Keyers ,"36,190",-0.247,1,0.9,1.4/10
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic ","42,450",-0.186,0.91,0.75,1.4/10
"Cooks, Fast Food ","27,640",-0.087,0.98,0.76,1.4/10
Fallers ,"49,160",-0.091,1,0.69,1.4/10
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic ","46,870",-0.177,1,0.83,1.3/10
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic ","40,900",-0.098,0.97,0.71,1.3/10
"Credit Authorizers, Checkers, and Clerks ","44,830",-0.039,1,0.78,1.3/10
"Meter Readers, Utilities ","44,760",-0.109,0.85,0.79,1.3/10
Print Binding and Finishing Workers ,"36,970",-0.248,0.89,0.82,1.3/10
New Accounts Clerks ,"40,820",-0.116,1,0.8,1.3/10
Word Processors and Typists ,"44,330",-0.382,1,0.79,1.3/10
Sewing Machine Operators ,"31,740",-0.083,1,0.69,1.3/10
"Cutters and Trimmers, Hand ","36,130",-0.284,1,0.61,1.2/10
Food Cooking Machine Operators and Tenders ,"36,700",-0.008,1,0.75,1.2/10
"Graders and Sorters, Agricultural Products ","32,550",-0.008,1,0.74,1.2/10
"Mail Clerks and Mail Machine Operators, Except Postal Service ","35,070",-0.068,1,0.86,1.2/10
Helpers--Production Workers ,"34,670",-0.08,1,0.75,1.1/10
"Grinding and Polishing Workers, Hand ","36,960",-0.187,0.9,0.86,1.1/10
Medical Transcriptionists ,"34,730",-0.065,1,0.78,1.1/10
Telemarketers ,"31,030",-0.182,1,0.9,1.1/10
Gambling Cage Workers ,"31,720",0.003,1,0.78,1.0/10
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders ","33,720",-0.124,1,0.71,1.0/10
"Office Machine Operators, Except Computer ","36,710",-0.128,0.99,0.85,1.0/10
"Sewers, Hand ","31,530",-0.01,0.86,0.75,0.9/10
Textile Bleaching and Dyeing Machine Operators and Tenders ,"32,680",-0.146,0.91,0.74,0.9/10
Gambling Change Persons and Booth Cashiers ,"30,010",-0.023,0.94,0.83,0.9/10
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders ","35,750",-0.151,1,0.77,0.9/10
"Switchboard Operators, Including Answering Service ","34,670",-0.24,1,0.81,0.9/10
"Textile Cutting Machine Setters, Operators, and Tenders ","34,420",-0.122,1,0.68,0.8/10
"Pressers, Textile, Garment, and Related Materials ","29,690",-0.096,1,0.76,0.8/10
Telephone Operators ,"38,330",-0.245,1,0.85,0.7/10
Shoe Machine Operators and Tenders ,"33,060",-0.072,1,0.92,0.4/10
